TIP #1,TIP #2,TIP #3,Anything else you want to mention? [this can be more TIPS if you are overflowing with advice],Year
"Take the initiative. If there is something you want to learn, or figure out, don't wait for it to be taught to you. Go learn about it, consult faculty and staff, ask questions, and use external resources. This is especially true for the practicum but also for any subject matter, academic or professional. You should try to take the initiative wherever possible, even in your career and in your life to achieve the outcomes you are hoping for.","Think critically about what you want to learn and achieve from this program continuously reevaluate. This will allow you to be more selective in how to budget your time and efforts because it is not sustainable to be a master at everything. 
	
Setting goals and calibrating your approach to best achieve your goals will help you both as a student and in the job search. You cannot give maximum effort towards every company, so think about which companies and industries may be more important to you. More targeted Networking will bear more fruit
	
If you have multiple job offers, think critically about what are your short term, medium term, and long term professional goals are and which opportunity will best help you get there. Salaries will normalize eventually but experiences learned may not.","Make the job search process your own and don't be afraid to be unorthodox, cast a wide net, and reach out to external companies. Tune out all the noise, and what other people are doing and what offers they are getting. Focus on yourself and your goals. Don't be afraid to start researching and applying early and do what is best for you.",,2022
"USE ONENOTE. Start this SUMMER, don't wait. I thought I was only a paper note taker and I'm old so I thought it wasn't for me. It doesn't matter. It is for you. OneNote will help you store all important things quickly. A one stop searchable shop for your brain. Lifesaver.","I would say again to use OneNote, but I won't. Learn to work efficiently. If you pay attention during class you won't have to re-watch lecture videos later like everyone else and it will save you a ton of time.","Use OneNote. Also, try to do some assignments (or at least a side project) in python. Many companies use python not R, so you'll be more prepared once you go into the workforce.","It's okay to be a loner, if you are efficient and you value your time away from the institute, that's an okay thing to value. ",2022
The days are long but the year is short AKA your time at the institute really will fly by ,,,,2022
"I remember being anxious about who my sponsor company was, despite Dr. Rappa emphasizing that it doesn’t really matter at the end of the day. And he was absolutely right- your practicum team is what makes the experience! You’ll spend so much time with them that they become like family. Plus, the industry your practicum is in has no bearing on where you’ll work. My practicum was for a consulting company, and my team members got jobs in sports analytics, tech, financial services, and national security. ","You’ll hear it a million times, but trust the process! Put in the work in the summer and fall, and you’ll get where you need to in the spring. This program works, you just have to believe in it (and yourself)!","This is probably all over TIPS, but the people in this program are some of the best you’ll ever meet. I have made some of my best friends here, so much so that I’ll be living with some of them after graduation. This isn’t your typical grad program where everyone’s cooped up all day— we all work hard, but know our limits and how to have fun! From our class’ epic Halloween party to Tuesday trivia takeovers at Sammy’s to our post-graduation class beach trip, we’ve made some great memories and I know this upcoming class will too! ","Start early with preparing for the job search process! You’ll do a mock interview with an alumni in December, but don’t stop there until the process kicks up again in February. I suggest taking winter break as a break (don’t burn yourself out), but come back strong in early January. I formed a study group with some people where we did four hour sessions around two times a week studying and interviewing each other. It really paid off because all of us got job offers pretty early on!",2022
"Don't feel like a loser if classmates are advancing in interviews and you're not. Your time and fit will come. Especially if this is your first 'real' job, interviewing will take some getting used to, but Career Services (Kate and April), faculty, and your classmates are great resources to help you out.","If you're a more technical-minded person, take your non-technical development as seriously as your technical development. Learn from your peers and the faculty (specifically Dr. Egan Warren) about how to become a better presenter, writer, participant in meetings, and interviewee. It's always easy to brush off but try not to. ","Give yourself time to relax and have fun on the weekends! Try to get to know your classmates, everyone I've met is genuinely a good person, and many of them have diverse and interesting backgrounds!",,2022
A lot of us felt imposter syndrome coming into the MSA. A lot of us feel imposter syndrome as we start our new jobs. Know that you all have worked hard to be here and deserve your spot in the IAA:),"Don't be afraid to say ""I don't know"". We all start at different points, and it's your job to learn and be the best you can be.",,,2022
"You will hear a lot ""Trust the process"" in the program. My advice would be to believe in that as long as you are putting enough effort and following the school's advice along the way. Focus on learning, improving your soft skills, and remember that everything you are doing as part of this program is there for a reason. ","Take the actual break during the winter break but start preparing for the interviews. Once you get back from the break, the interviews begin right away, and you might have multiple interviews in one day for different companies. Once you get a list of past behavioral and technical questions from April before the winter break, start writing down your answers to have them ready on time. Also, write notes after every module, maybe even once a week, with the most important concepts to remember. This will come in handy in your preparation for the interviews. ","Time flies in this program, so make sure to get the best of it in terms of learning, practicing your soft skills, preparing for real-world and cultural differences in the work environment, and making friendships.","Job search is a stressful period, and just try your best to prepare for it, but remember that there is also a lot of luck to it. If you get rejections or are not invited for the first round of interviews, it can be for various reasons. The companies are looking for different things, sometimes, your goals do not match, but it does not mean that you are doing anything wrong. If that happens, talk to April and Kate, practice the interview with them, and review your resume and cover letter. They are there to help you. ",2022
"Be sure to build a fitness routine into your schedule. Group Fitness classes are a great free way to destress! My favorites were cardio step, cycle, yoga, and hip hop. I also took aggressively long walks around Lake Raleigh, and did Kathy/ Joe's Koru meditation class. You do have time if you make it a priority.","Take out books from the IAA library! They have textbooks with practice problems if you need help solidifying a concept. They also have books that are helpful when determining what you want out of your job search like the defining decade, lean in, and flow.","Have one non negotiable on your calendar that brings you pure happiness. For me, that was having friends over to watch The Bachelor every Monday from 8-10. Having something to look forward to each week was very impactful. ","The days go slow, but the year goes fast",2022
"You will likely see a lot of tips talking about how intense the program is, or which module is the hardest. Don't let them phase you too much or make you nervous. Instead let it be motivation to push through these next 10 months as best as you can, It will be over before you know it.","It seems that the Spring 1 module usually goes one of two ways for people. Some see that they don't have classes half of the week and don't take advantage of that extra time, causing them to be more anxious about not having as many interviews or an offer towards the end of the module. Others go for every job opportunity they see, causing them to have 7-10 interviews a week which stresses them out. My point here is that Spring 1 is all about balance, so being able to manage that in a productive way will determine how that module will go for you. ",Don't underestimate the power of networking.,,2022
"Really go out of your way to learn new technologies. Spark, Cloud, Tensorflow. The best data scientists are adaptable!",Work as hard as you can to learn python. It will really help when it comes to practicum and interview season,,,2022
"Pay special attention in summer, it'll serve as the basis for everything that's to come",,,,2022
"The nights are long but the year is short. Put in the work and you will be rewarded on the other side. If you don't put in the work, well you just wasted your own time and money. ",Talk to the faculty outside of class. They are very knowledgeable and so willing to help. ,,,2022
Work on a side project. Even if you don’t finish it it will provide a great talking point in interviews. ,,,,2022
"It sounds cliché, but it really is vital to not compare yourself to other people. Theres 100-something people in the class, and each one has something to offer and comes from their own unique background with their own unique set of experiences. What matters most is whether or not YOU gain new skills, learn, improve, etc.","Make sure that you actually take meaningful notes during the lectures that you can actually go back to! I can't think of how many times I was preparing for interviews or working on classwork and I would go back to my class notes, only to not quite understand them or find that I'd been a bit less diligent. Try to do this even if the class doesn't seem as vital - everything builds on itself, so you never know what you'll need.","When you are a practicum or homework team lead, get in the habit of over-communicating. It's always better to promote and reach clarity about who is doing what, what needs to get done, etc., especially if you're in a remote setting.",,2022
"Do not be afraid to ask for help if you are stuck! Your peers, TAs, IAA staff, and IAA faculty are there to help you be successful. Everyone has there own strengths, so do not feel like an imposter if something does not ""click"" immediately.","Developing good time management skills and work-life balance habits early will help you in the long run. Each segment of the program adds a little more work, so being flexible with a refined task management system will help tremendously.",,,2022
"Just about every student in the program will struggle with some aspect of the program at some point — whether that be adjusting to being in school again, the coursework, or getting code to work. It is important to recognize and embrace your weaknesses from the beginning and not shy away from addressing them. ","Be sure to keep your expectations about free time reasonable, but also remember that this is school and to not let it take over your life. Yes, it should be a priority but not your only one — maintaining your mental health and relationships is just as, if not more important.",,,2022
Use Google Calendar. Especially if you are a lead it is important to keep that updated because people will frequently forget when meetings are if it is not on their calendars.,"If you are someone who handwrites notes with a pencil and are comfortable with that, don't feel the need to change. For most of the classes I took handwritten notes and feel like it really helped me reinforce the concepts in my head.",,,2022
Take the program one month at a time.,Keep all lecture slides so you can study them for technical interviews in February.,,,2022
Take notes during the AIPs! There were a lot of them and taking good notes was super helpful for interview season.,"Set priorities and goals for yourself throughout the modules and year. There is a lot to do and learn with classes, certifications, practicum, and side projects. Prioritizing achievable goals for myself helped me to be able to set some boundaries around school work and feel good about accomplishing my goals without feeling like I had to do it all.",Lean on your support system outside of school if you can! This was super important to me personally as an underrepresented minority student - having my friends and family who know me and my values and goals to ground me throughout the process helped me gain perspective whenever I felt overwhelmed.,Try not to stress too much - you're gonna do great!,2022
ONE NOTE - This is where your life will live. Download the slide deck before class and take notes on the slides. Use it also organize all the AIPs and networking conversations you have. People will ask you for your notes and you will be happy you have them. ,"Take Summer seriously and use it to structure your schedule, understand how you learn best (rewatching lecture on 2x speed was mine), get in the habit of using your calendar and putting deadlines in your calendar. Take summer seriously. ",At some point you might get this big-brother feeling that the faculty are watching your every move. It is because they are. Use it to your advantage and show them that you are here to learn and make the most out of your time. They will reciprocate that effort. ,"If you are a parent, you might be feeling anxious about this uncertain journey you're about to embark on. Yes, it is possible to succeed in this program as a parent. Use the alumni network to get strategies and support. Set a goal to make it through Summer to December full steam. After December, your stress will change from managing a schedule  into finding a job but you will have more time to spend with your family. Don't worry, you will find a job. Just remember, you are juggling two full time jobs right now: a student and a parent. You're a super person.",2022
Make sure you schedule time to take a break. When you get busy it gets hard to step away. So make sure you schedule in break time or some kind of activity so that you can recharge.,Our class found it really helpful to have a weekly scheduled trivia night (we highly recommend trivia at Sammy's on Tuesdays). This gave everyone a place to meet up during the week to take a break and to get to know more of our classmates.,"You don't need to do everything all the time. When the year gets really busy it feels like there's always more you could be doing whether that be reaching out to alumni, interview practice, or studying for a certification. Also when you look at your classmates you will probably always see someone who is doing more than you. But don't try to do everything or you will burn yourself out. I recommend setting attainable goals for the week and making sure you don't spread yourself too thin.",Try practicing your skills outside the classroom with a side project. I highly recommend a data challenge like the Carolina Data Challenge which happens in the fall because then you're done with the project in a week and you can work with other people. These extra projects will give you something extra that you can talk about in interviews. ,2022
You have FREE COUNSELING. FREE THERAPY. USE IT.,,,,2022
"You will often hear the mantra 'Trust the Process,' and it is important to trust that the faculty at the IAA know what to do to set you up for success. However, it is equally, if not more, essential to value the process. It is easy to fixate on the results, from how you did on a test to if you got a job or not. All the work you put in and the growth you experience are valuable. What you do along the way matters, and it is important not to lose sight of that.","Focus on your goals and path. You are in a program filled with smart and talented people, and you will be tempted to compare yourselves to others. However, you should make sure you focus on what you want to get out of the program and what your goals are. This helps reduce that fixation with what others are doing and feeling behind. Setting up SMART goals for yourself and planning when you want to get a certification or how many jobs to apply to in a given will help you focus on your path and less so on the path of others.","Take advantage of the resources at the IAA! The coaching, counseling, faculty guidance, and technical resources you get at the IAA are tremendous, and you have them at your disposal. Use these resources to help develop your technical and soft skills and maintain your mental well-being. The IAA is a community that you remain a part of once you graduate, but you should take advantage of the resources provided while you are there. ","Develop a routine! You will be busy during your time at the IAA, and having a routine can help you develop some structure as you navigate that workload. It helps you avoid being overwhelmed and prevents that feeling of scrambling to get things done. 

Embrace the 'suck.' The IAA will be challenging and stressful, but that is ok. The faculty know the program is a demanding experience, and there are times you might feel overwhelmed or feel tested by the experience. However, that is normal, and it is ok to embrace that experience. That is not to say you should bottle up all that stress and anxiety, but rather that you should accept those feelings are present and try and do something to address them. Talk to your coach, take advantage of counseling, talk with your peers, and lean on your support network. The program can be arduous, but embracing that can help you grow and learn more about yourself.",2022
Don't be afraid to go to office hours. The program goes by really fast so it's important to keep up with what is being taught and going to office hours can really help clear up anything that might be confusing. ,"Make an effort to really get to know your classmates at the beginning of the year, particularly in the summer. A lot of the work that you will do at the Institute will be in teams and the work load overall begins to ramp up in the fall, so the summer is the perfect time to go to social events. Doing something fun with your classmates also gives you the opportunity to focus on something outside of work which is usually much needed after demanding ends to each of the modules. ",,,2022
If you are struggling with something ask for help. The faculty and TA's are all very nice and helped me multiple times with different topics that I didn't understand the first time.,Mr. Mongolian and Gussy's are the best food trucks.,,,2022
"Make sure to take time to prioritize life outside of the institute (passions, relationships, etc). These will be extremely important in making the year a good experience. ","Fall 2, Fall 3, and Spring 1 are all difficult but for different reasons. Fall 2 contains a lot of projects and presentations, Fall 3 consists of practicum preparation for midpoint, and Spring 1 is the heat of the job hunt. Although difficult, the difference in challenges make them easier to work through.","Make friends, trust the process, and enjoy the 10 months. The days can go by slow but the year is fast. Before you know it, you will be filling out a TIPS Google form for the next class!",The IAA is a family. This goes for your class but also for the alumni network. Reach out to any of us and we will be happy to talk!,2022
"Put EVERYTHING in your Google calendar! Not only will it keep you organized, but it will keep your team leads from scheduling over important events. Keep track of it and keep it up to date.","Start a study group or find a study partner. It'll help you stay dedicated to your studies while offering a distraction when studies inevitably become drab. I highly recommend doing this with someone you enjoy, it makes studying fun!","People in this program are very like-minded. That means it is really easy to find people who think like you and like the things you like. Sports people, video gamers, foodies, outdoorsy types, the IAA has them all. Start a #social channel in Slack and start planning things!",Save your code! You'll be referencing it frequently throughout the program.,2022
"Stay up-to-date with assignments as you find out about them. You never know everything you’re going to have to do as you’re always finding out about more assignments. I was always so glad I didn’t wait, even if I submitted something a week early. ","Communicate with your teams, even just to keep them updated about what you’re working on. It’s helpful even if your don’t realize it. The more communication there is, the more comfortable people will feel. ","Greet people as they walk past in the hallways or in class, even if you don’t normally talk with them. ",,2022
"Network hard right NOW. While it is very much likely that your networking may not yield a way into a job, use those opportunities to learn about different industries, and establish contacts with people you may want to hit up later in your career. The difficult part is continuing contact beyond the first call, so work on trying to socially engage if you can.","Research financial literacy (maybe kill 2 birds with one stone and do a side project on investing, etc.) so you know what you really need to do for your long-term financial goals.","Don't neglect balancing your speaking and writing skills. Oral presentations are typically more intimidating for most people and so are worked on more frequently, but be sure to keep your writing at the same level.",,2022
"Career services gives lots of suggestions on how to network in the fall, and they are all great tips (many people get interviews with certain companies solely because they reached out to them on LinkedIn and had a chat). Treat networking as a required part of the program and force yourself to reach out - even if you're extremely anxious and nervous (like I was). It was extremely valuable to learn how to talk to professionals that you don't know and a lot of my success in interview season came from how comfortable I was in those situations because I networked a lot. Besides, eventually your nerves will subside as you become more comfortable with the process. ",Be vulnerable with your classmates. It helped me so much to hear about how classmates (who I really respect) struggle with anxiety and imposter syndrome just like I did. It is very cathartic to vent with classmates who know exactly what you're going through. ,,,2022
"Once you’re accepted, the competition is over. Lean on your peers, appreciate each other’s strengths and don’t be afraid to be vulnerable. Those are the times you’ll grow the most. ",Come to coaching sessions with a game plan of what you what to discuss.,"Come interview season, prepare to talk about what’s on your resume at length and tailor your answers to show tour technical skill. More importantly, show your personality. Anyone interviewing through the institute knows the students are skilled. Companies are looking more so at who they could see fitting on their team. ",,2022
Don't discount the importance of building relationships in this program. You will meet some lifelong friends if you put yourself out there. Go to social events early and often.,,,,2022
Don't let others do work for you. The best way to learn the material especially coding is to try it yourself first. Failing is the most helpful teacher and everyone will experience it at some point at the IAA don't shy away from it just embrace it.,Make friends don't go through the program and try to be secluded from everyone. Go to social events whenever possible it makes the program much easier than going through alone.,,,2022
"You will work incredibly hard during this program, but make sure to take some time to relax and reset. ","Learn SQL! The institute does a good job introducing it, however if you see the ability to implement it in your practicum or a side project, I would highly recommend. It is so useful for interviews and is just a great tool. ",Don't get too stressed about this TIPS project. It just is setting the tone for presenting the analytical work going forward. It's not meant to be perfect!,,2022
"Take the time to get to know your classmates. I started going to social events as early as the primer, and I'm so glad I did. Even if it feels outside your comfort zone to go to an event where you barely know anyone, take the chance, you'll be glad you did. This program is really enhanced by the people, both inside and outside the classroom. ","As someone who strives to understand all the details before arriving at the big picture, I struggled at points to grasp some of the statistical/mathematical concepts that are taught here. Looking back, I wish I had stressed about this less - there is simply not the time for it. One thing that can help is studying with others or asking them for help - listening to them explain a concept that is difficult for you to understand may be the missing key after you've spent hours staring at slides from class. Additionally, if you feel stuck, just try SOMETHING. Especially with coding, a few rounds of trial and error may be all you need.","Create a personal system to keep track of deadlines for assignments, quizzes, etc. Whether that's using a calendar/calendar blocking, a task tracker, or something else, I found it very helpful to be able to look ahead to the next few weeks and understand how I was going to have to manage my time to get all of the work done. While a lot of the work is individual in the summer, this is complicated by the fact that so much of what you'll be working on in the fall is teamwork. Sometimes it was impossible to work ahead, but knowledge is power. Also pro tip - friends don't let friends forget their quizzes!","Don't skimp on preparing for interviews. As a sometimes socially anxious person who struggles with speaking eloquently in high pressure situations, I think I would have been a lot more successful during interview season if I had taken the time to craft strong examples of how I excel with technical projects and refresh my memory of statistical concepts learned in the fall. While I knew I SHOULD prepare, the task felt overwhelming, and I more or less procrastinated until it was too late. While you can't possibly know everything, feeling prepared with a few great examples for both technical and behavioral questions will go a long way - be sure to practice saying them out loud!",2022
"A great method to study for quizzes/exams is to rewatch lectures. It is sometimes difficult to capture all the information the first time in class, so listening to it a second time and taking notes helps.","Try to prepare for Spring 1 as much as possible. It is such a busy time with interviewing, and you still have a heavy workload with classes. If you can, try and get ahead with networking prior to this semester.","It is totally normal to feel stressed and anxious throughout this program, especially at the start as you are adjusting to the pace and rigor. Just know that you will learn to adapt each time you overcome a new challenge and will come out a lot more confident on the other side.",,2022
Take good notes! You are learning a lot of material in a short period of time so don't wait until last minute to organize your notes. Good notes will also help you a lot during interview season.,"The biggest thing I gained from the program are the friends that I've made. While studying is important, spend some quality time with the people around you. You will make some life long relationships.",,,2022
Mike is incredible patient with IT problems. I sat in his office for hours and he never gave up. If you feel frustrated solving a problem on your own don't be afraid to ask for help.,,,,2022
"Take advantage of every resource the institute offers! Whether thats office hours, counseling, coaching, your tuition covers a lot of benefits at the IAA and NCSU that you should be using to get the most out of your experience",Enjoy your time at the institute! It really goes by too fast. Always make time for social events and self care. GET A GOOD NIGHT'S SLEEP. Time management is important to be able to juggle all of these things. ,,,2022
"Use Google Calendar. It will be a lifesaver in the fall when classes, practicum, and homework picks up.",Go to office hours. The faculty are super knowledgeable and willing to help you all of the time. ,,,2022
"Things can get overwhelming, make sure to prioritize yourself in addition to school work.",. Be social and hang out with your classmates outside of class. That is the best part of the program!,,,2022
"Prioritize your mental health. It will be easy to get swept away in the stress of the program, but you should always take care of yourself. Make sure to eat, sleep, and have fun as much as possible!","Get your certifications as early as possible. It'll be tempting to say that you'll get your certifications over winter break, but when that time comes you will likely just want to relax. I'd recommend finding a friend to line up your certification schedule with so you can hold each other accountable and study together.","Be confident during interview season. You won't get every job you apply for, but that's totally fine and completely normal. One of the most important parts of getting a job is fitting the vibe of the company, so make sure to be positive during your interviews. ",,2022
"For anyone that is a worrier or has anxiety about this upcoming experience: have faith in yourself! I had major anxiety coming into this experience, especially being someone with minimal workforce experience and almost no relevant experience. Seeing how qualified and experienced so many of my classmates were really made me worry about my ability to have success. But this isn't something that should bring you down. You hardly ever work alone so having brilliant classmates is a huge advantage! Try to learn from them.  But more importantly, understand that you are smart and capable enough to navigate this program. You will bring something strong to the table. Figure out your strengths and weaknesses and let your strengths shine while always trying to improve upon your weaknesses. If you do that, there's nothing you will be completely fine.",,,,2022
"Don't be shy to ask for help. Take advantage of the staff and faculty, TA to clarify our doubts. ",,,,2022
Highly recommend using OneNote for notetaking for both online and in-person classes.,"There's a lot of emphasis put on R throughout most of the homeworks/classes. Try switching it up every now and then and use another software (Python, SAS, etc) to take on assignments because that experience may come in handy for job interviews!",Don't be afraid to speak up during team discussions. You would be surprised by how much direction you can give your team just by sharing your thoughts!,,2022
"Stay focused on what you want to get out of this program. Want more experience coding? Volunteer to take on more coding tasks in your homework and practicum teams. Want to make long lasting friendships and networking relationships? Make the time to get to know your classmates and actively reach out to alumni to network. Want to get a job? Make sure you use the career services resources available to you and take the time to get those certificates. You won't have a lot of time to spare during this busy program so make sure you focus your attention and time on what you want, and don't waste time stressing too much and comparing yourself to others.","Always ask for and be open to feedback. This is your last chance before starting a professional career to get feedback in an educational, low stakes setting. You can use this chance to get an honest assessment of how well you work individually and as a teammate or team lead.","Remember to take some time to relax and destress. Your brain will need it. Get sleep, eat yummy food, exercise or go out for a walk. Hang out with your friends and family. Nothing is worth losing your physical or mental health over.",,2022
You definitely have time to engage in extracurricular activities. I was unsure about joining a dance company at NCSU because I was worried about the time commitment. You absolutely have/can make the time; it is incredibly important to carve out time for your passions and hobbies—no matter how much time it might take. ,,,,2022
Don't be afraid to admit when you're wrong. It goes a long way when interacting with team members. You never want to be the person who wastes everyone's time when you know you are wrong. You also will gain the respect of every team member once you become comfortable admitting when you're wrong.,"Your time at the IAA will come and go faster than you think. You can always go back and re-learn material as necessary, but it's much harder to reach out to people and build relationships after you've left. Put in the effort and make meaningful relationships with your practicum teammates because those will mean more than any technical material you learn during your time. ","Although networking may seem like an extremely daunting task, if you start networking in the Fall it will pay dividends if you reconnect with those people come the job search. All you have to do is ask if people are available for a 30 minute chat to discuss their company, position, and background. Then reconnect in the Spring to ask how they've been, about their current projects, and if they are aware of any open positions. There is a vast alumni network and all alumni are more than happy to talk with current students. Networking is difficult, hard, and uncomfortable, but its an extremely important aspect of this profession that everyone is more than capable of doing. ",Sammy's Trivia on Tuesdays.,2022
Lean on the friends you'll make in the IAA as a support system during busy modules! They'll understand what you're going through and be a great sounding board.,Definitely consider knocking out the Python certification in the first half of the fall. It's an excellent crash course in the programming language and is in an easy-to-learn format. ,Take walks between classes when you can! Getting outside during long days was essential.,,2022
"Get to know your classmates! The program is an awesome opportunity to form lasting friendships so don't shy away from the social events, even when things get busy.",Find at least 1-2 business format outfits that make you feel amazing. Your confidence will shine through during networking and interviews when you feel good about yourself!,"Don't be afraid to apply for your dream job! While it's good to make sure you have options, don't shy away from putting yourself out there and working hard for an opportunity that would make you really happy.",,2022
"Go to social events early on! At the beginning of the program you will be tempted to spend all your time studying/trying to get ahead but you'll eventually settle into a routine and realize you don't need to spend a bunch of extra time ""getting ahead"" so that time early on is much better used getting to know your classmates. The IAA does a terrific job selecting fun/smart/interesting people so there is a high chance you will make lifelong friends in this program so don't miss out on that opportunity!",,,,2022
"Try to connect socially with your fellow classmates, especially early on! In the later modules, you'll become inundated with schoolwork (Fall 2, Fall 3, and Spring 1 are the toughest by far!) and may not have the time to socialize as much. You're forged through the fire with some incredible individuals and will make some fantastic new friends if you take the time!","You'll be assigned to read some books for class, and it is challenging to find the time to give them their due while juggling other assignments. HIGHLY recommend listening to the audiobook versions on 1.5x or 2x speed! Check them out for free on the Libby app (you just need a library card)!","If you're new to coding, I recommend taking time on the weekends to practice. I specifically took time to practice writing loops in Python and R, which served me well later in the program! And try not to compare yourself to others' coding skills. There are PLENTY of people who entered this program as coding novices and successfully completed it! You will become a much more confident coder due to practicing and not shying away from the coding aspects of data science.","This program will take as much time from you as you allow. While it is essential to maximize your experience at the IAA, remember that life doesn't stop while you are here and to truly be successful in the program, you can't let your personal life unravel. You may experience personal loss (death of loved ones, breakups) and struggle with the stress of the program (addiction, anxiety/panic attacks) - just know there are resources available to you to help you navigate. I found the coaching sessions and counseling sessions to be really helpful. I also was intentional in time-boxing assignments. If I was still struggling with a concept or troubleshooting code, I would schedule time with a TA (there are amazing TAs dedicated to helping you throughout each module!). At night, to help get my mind off everything and to fall asleep, I would try and read an engrossing book. Hopefully, these tips will help you! You can do it! And before you know it, you will be done!!!",2022
"I know a lot of these tips are going to be about the job process or things that seem so far away, but you will have access to this document all year, and I really found it helpful to go back to these tips as you approach different parts of the process! ","You are going to have an amazing year! Don't let the scary tips get you down - it will be a lot of work and growing, but it will absolutely be worth it! The whole process can be quite fun if you foster good relationships with your teammates and the material! Enjoy it!","I cannot emphasize enough the importance of bonding with your teammates and classmates in general. Our year did a ton of Raleigh Beer Garden casual meet ups and things like this and I really recommend suggesting large group activities where everyone can chat and get to know one another. You are all in it together! It is going to be an amazing year, embrace the process and really give it your all and you will reap amazing benefits! ","I am sad to see this amazing year come to an end. I never thought I could grow or learn as much as I have in the past 10 months, and to meet incredible people along the way is truly the cherry on top!",2022
Make sure to not skip meals,Try to go to as many social events as possible to take care of your mental health,,,2022
,"Go into interviews prepared. Just some tips on what ""prepared"" looks like - look up the company quarterly reports, is data science an analytics a key piece in their vision for success in the future? Are they investing in RnD or growing their analytics capabilities? Bring these questions to the table or impress your interviewers with this information. Practice with your classmates. Find a group of 3-5 people who you vibe with and practice interview questions a few times a week. This will massively help you prepare for the interview questions and give you confidence. At the end of the day it's just a conversation.",,,2022
Get plenty of rest,Take time to smell the roses,Don't forget to take Dr. L's quizzes!,"Work hard, don't forget to have fun, and cherish the close frienships",2022
"Run your own race with the job search. Dr. Rappa's emails can be anxiety inducing, but have faith that you will get a job—even in the darkest of hours.","Do the work to be here, and treat it like your job. Your peers and the alumni are expecting your very best effort.","Relax and ""trust the process."" Good luck. 😅",,2022
Go to Angus Barn in Raleigh with friends and get the Chocolate Chess Pie.,Go to Cinnaholic in Cary with friends and get any gourmet cinnamon rolls.,Go to Moge Tee on Hillsborough St with friends for bubble/boba tea.,"For those who love nature, go kayaking with friends (bonus points for Sunset/Nighttime kayaking) with Frog Hollow Outdoors at Falls Lake in Durham. Also go hiking/walking with friends, there are TONS of parks and nature preserves in the triangle area. My personal favorite were Lake Lynn, Occoneechee Mountain State Natural Area, Bass Lake, and Hemlock Bluffs Nature Preserve.",2022
"Take time to do the things you enjoy. You'll end up doing a better job with a clear mind after doing things you like to do. Hang out with your friends, go to sporting events, go work out, etc. The work will be there when you get back.",Do fun things with your practicum group at least once a month. The group will grow closer together and that will help when you inevitably run into problems.,Use the IAA's resources. Talk to your professors and ask them for help. Use the coaching sessions and mental health counseling. If you're struggling with interviews ask April and/or Kate for more practice!,"The days are long, but the year is short. Enjoy the ride!",2022
"Practice with Python and R the most you can. Best way to do this isn't necesarily a side project, just think of something fun like a poker simulator or roulette sim to find the best strategy and try to see it through. It gives you the most experience to get comfortable with the basics, and its fun to do.","Go to office hours! I was someone who never in my entire college career went to office hours, and only halfway through the year did I go the first time and what I was spent trying to figure out for 4 hours in code, the TA solved in under a minute. Definitely check them out if you have any questions or are stuck on anything.","Practice with Python and R the most you can. Best way to do this isn't necesarily a side project, just think of something fun like a poker simulator or roulette sim to find the best strategy and try to see it through. It gives you the most experience to get comfortable with the basics, and its fun to do.",,2021
"You're probably freaking out while reading some of these tips but honestly its gonna be OK. Pay attention in class, ask questions, be a good teammate, and you'll be at the finish line before you know it.",Put your ego aside when it comes to teamwork & receiving feedback. Accept it (or not) graciously & keep on doing your best.,Take things seriously from the very beginning and you'll hit your stride. ,,2021
"It can be difficult to learn virtually, so find a good way to take notes and stay focused. I preferred to always download the powerpoints before class and take notes using One Note alongside the zoom window.","If you have the space for it, a standing desk and a second monitor can be life changing.","Use all of the coding resources in the summer, especially if you're new to coding and take good notes. I referenced my notes from the SAS e-learnings and the R and Python Data Camp courses all the time. You can also continue to use data camp to learn things you may need for your practicum that weren't discussed in class.",,2021
"I am sure many people will say this, but do not compare yourself to others. You don't have to have the exact same career aspirations as your classmates. Your classmates are all starting from different places and have different skills and experiences. Compare yourself to who you were at the beginning of the program or how your skills have progressed compared to a month ago. ","Don't feel like you are ""less than"" if you are a less technical member of your practicum or homework teams. Everyone in the program deserves to be here and you likely have a lot of other skills to offer that your more technically experienced classmates may not have",Don't let the feedback forms at the end of each module be the only way you give feedback to your teammates. Your teammates are not mind readers and will likely benefit much more from an open conversation about the ways the team or the team member can be more effective. Conversations about feedback allow the other person to ask questions about what an improvement might look like as well as understand more specific instances of the feedback in question. These conversations might feel uncomfortable but if you come from a place of respect and vulnerability your teammates will thank you!,Take advantage of your virtual resources. Zoom meetings can be really efficient especially for team members that would be commuting to the IAA from farther distances. Consider making any meetings that occur outside of business hours Zoom meetings.,2021
